timeframe,move_start_ts,move_end_ts,move_low,move_high,move_duration_bars,consol_start_ts,consol_end_ts,consol_low,consol_high,consol_duration_bars,fib_retracement_depth,fib_50,entry_ts,entry_price,entry_score
15min,2005-01-14 15:00:00+00:00,2005-01-14 16:30:00+00:00,4709.5,4724.0,8,2005-01-14 16:30:00+00:00,2005-01-14 17:30:00+00:00,4716.0,4722.0,5,0.5517241379310345,4716.75,2005-01-14 17:30:00+00:00,4721.5,0.8888888888888888
15min,2005-02-07 20:30:00+00:00,2005-02-08 14:30:00+00:00,4683.5,4688.0,5,2005-02-08 14:30:00+00:00,2005-02-08 15:45:00+00:00,4685.0,4701.0,6,0.6666666666666666,4685.75,2005-02-08 15:45:00+00:00,4698.5,1.0
15min,2005-02-11 15:45:00+00:00,2005-02-14 14:30:00+00:00,4666.0,4694.0,24,2005-02-14 14:30:00+00:00,2005-02-15 15:15:00+00:00,4686.5,4702.0,31,0.26785714285714285,4680.0,2005-02-15 15:15:00+00:00,4700.5,1.0
15min,2005-02-24 19:00:00+00:00,2005-02-25 15:15:00+00:00,4656.5,4677.5,14,2005-02-25 15:15:00+00:00,2005-02-25 17:00:00+00:00,4669.0,4685.0,8,0.40476190476190477,4667.0,2005-02-25 17:00:00+00:00,4683.0,1.0
15min,2005-03-04 19:15:00+00:00,2005-03-04 21:00:00+00:00,4677.0,4685.0,9,2005-03-04 21:00:00+00:00,2005-03-07 15:15:00+00:00,4677.5,4701.5,5,0.9375,4681.0,2005-03-07 15:15:00+00:00,4701.0,1.0
15min,2005-03-30 15:30:00+00:00,2005-03-30 19:45:00+00:00,4627.5,4645.0,19,2005-03-30 19:45:00+00:00,2005-03-30 21:00:00+00:00,4634.0,4643.5,6,0.6285714285714286,4636.25,2005-03-30 21:00:00+00:00,4643.0,1.0
15min,2005-04-04 18:15:00+00:00,2005-04-05 15:30:00+00:00,4624.0,4639.5,18,2005-04-05 15:30:00+00:00,2005-04-06 13:30:00+00:00,4629.0,4640.0,20,0.6774193548387096,4631.75,2005-04-06 13:30:00+00:00,4639.5,0.6666666666666666
15min,2005-04-19 15:45:00+00:00,2005-04-19 16:30:00+00:00,4564.0,4570.5,5,2005-04-19 16:30:00+00:00,2005-04-19 17:45:00+00:00,4564.0,4571.5,6,1.0,4567.25,2005-04-19 17:45:00+00:00,4571.0,0.8888888888888888
15min,2005-05-17 17:45:00+00:00,2005-05-18 20:00:00+00:00,4622.0,4663.0,38,2005-05-18 20:00:00+00:00,2005-05-19 14:15:00+00:00,4655.0,4666.0,5,0.1951219512195122,4642.5,2005-05-19 14:15:00+00:00,4665.0,1.0
15min,2005-05-20 15:00:00+00:00,2005-05-23 15:15:00+00:00,4666.5,4683.0,30,2005-05-23 15:15:00+00:00,2005-05-23 16:15:00+00:00,4671.5,4680.0,5,0.696969696969697,4674.75,2005-05-23 16:15:00+00:00,4679.0,1.0
15min,2005-06-20 15:00:00+00:00,2005-06-20 15:45:00+00:00,4675.0,4679.0,5,2005-06-20 15:45:00+00:00,2005-06-20 18:45:00+00:00,4675.0,4686.0,13,1.0,4677.0,2005-06-20 18:45:00+00:00,4684.5,1.0
